type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,66,11.199404761904765,26.05818181818182,8.605,14.005578231292516,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,66,2.071428571428572,2.363636363636364,2.3,2.183673469387755,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,66,1.75,1.6363636363636365,1.7,1.7142857142857142,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,66,,,,210.71851911009296,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,66,,,,281.0,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,67,7.3098888888888895,26.00181818181818,4.23275,10.73812091503268,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,67,4.733333333333333,3.5454545454545454,5.3,4.588235294117647,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,67,3.2666666666666666,1.0909090909090908,4.3,3.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,67,,,,218.651591471763,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,67,,,,347.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,68,8.124222222222222,27.06181818181818,1.5,10.909934640522875,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,68,4.466666666666667,3.727272727272727,6.4,4.686274509803922,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,68,3.2333333333333334,1.0909090909090908,4.2,2.9607843137254903,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,68,,,,234.8334794074928,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,68,,,,386.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,random_avg,"[0.3, 0.4, 0.3]",
mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,69,15.821304347826086,28.684000000000005,6.267777777777777,16.836666666666662,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,69,1.7826086956521738,1.9,2.4444444444444446,1.9523809523809523,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,69,1.434782608695652,1.1,2.2222222222222223,1.5238095238095235,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,69,,,,213.48093320105824,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
Rop,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,69,,,,248.0,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,70,14.801521739130433,28.285000000000004,7.548333333333334,16.457619047619048,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,70,1.826086956521739,1.6,1.8888888888888888,1.7857142857142858,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,70,1.5217391304347827,1.1,1.7777777777777777,1.4761904761904765,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,70,,,,205.2021126842404,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
Rop,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,70,,,,219.0,3,6,6,1,8,1,10,5,kwaitlist,1.8,ver2,base,house_type,5,house_type,,
